name,address,city,country,latitude,longitude,avg_score,total_reviews
Maison Borella,Alzaia Naviglio Grande 8 Navigli 20144 Milan Italy,Milan,Italy,45.4521067,9.1758135,9.1,777
L Hotel Pergol se Paris,3 Rue Pergolese 16th arr 75116 Paris France,Paris,France,48.8756618,2.2863468,8.2,1281
Melia Paris Tour Eiffel,35 Rue Jean Goujon 8th arr 75008 Paris France,Paris,France,48.8651994,2.3045076,8.1,241
Copthorne Tara Hotel London Kensington,Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom,London,United Kingdom,51.499046,-0.1917073,8.1,7105
Britannia International Hotel Canary Wharf,163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,London,United Kingdom,51.5019097,-0.0232208,7.1,9086
Hotel Roemer Amsterdam,Roemer Visscherstraat 8 10 Oud West 1054 EV Amsterdam Netherlands,Amsterdam,Netherlands,52.3617577,4.8780052,8.3,974
St James Hotel Club Mayfair,7 8 Park Place Westminster Borough London SW1A 1LP United Kingdom,London,United Kingdom,51.5061587,-0.1402803,8.7,363
Palazzo Parigi Hotel Grand Spa Milano,Corso Di Porta Nuova 1 Milan City Center 20121 Milan Italy,Milan,Italy,45.473348,9.1910733,9.3,534
H tel La Parizienne by Elegancia,33 Boulevard du Montparnasse 6th arr 75006 Paris France,Paris,France,48.8450894,2.3209503,8.5,672
Onix Liceo,Nou de la Rambla 36 Ciutat Vella 08001 Barcelona Spain,Barcelona,Spain,41.3780229,2.1730782,8.1,1257
NH Milano Touring,Via Tarchetti 2 Milan City Center 20121 Milan Italy,Milan,Italy,45.4769167,9.196665,8.4,4568
Admiral Hotel,Via Domodossola 16 Fiera Milano City 20145 Milan Italy,Milan,Italy,45.480515,9.160063,7.3,330
Palais Hansen Kempinski Vienna,Schottenring 24 01 Innere Stadt 1010 Vienna Austria,Vienna,Austria,48.2163149,16.3685103,9.2,865
DoubleTree by Hilton Amsterdam Centraal Station,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,Amsterdam,Netherlands,52.376752,4.904618,8.4,3911
Park Grand London Hyde Park,78 82 Westbourne Terrace Westminster Borough London W2 6QA United Kingdom,London,United Kingdom,51.5157316,-0.1802179,7.5,1891
Arbor City,12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,London,United Kingdom,51.5166755,-0.0697897,8.9,2197
Thistle Euston,Cardington Street Euston Camden London NW1 2LP United Kingdom,London,United Kingdom,51.5291423,-0.1372782,8.3,2474
Knightsbridge Hotel,10 Beaufort Gardens Kensington and Chelsea London SW3 1PT United Kingdom,London,United Kingdom,51.4980052,-0.1643238,9.1,473
Best Western Seraphine Kensington Olympia,225 High Street Kensington Kensington and Chelsea London W8 6SA United Kingdom,London,United Kingdom,51.4992791,-0.1973593,7.4,895
Hotel Best Western PLUS Alfa Aeropuerto,Calle K s n Entrada principal Mercabarna Sants Montju c 08040 Barcelona Spain,Barcelona,Spain,41.3283758,2.1129638,7.8,2521
Hotel Maison Ath n e,19 Rue De Caumartin 9th arr 75009 Paris France,Paris,France,48.8713421,2.3280723,8.8,346
Pulitzer Amsterdam,Prinsengracht 315 331 Amsterdam City Center 1016 GZ Amsterdam Netherlands,Amsterdam,Netherlands,52.3728353,4.883326,9.1,909
H10 Marina Barcelona,Avenida Bogatell 64 68 Sant Mart 08005 Barcelona Spain,Barcelona,Spain,41.393227,2.1927427,8.2,1579
Sofitel Paris Baltimore Tour Eiffel,88 Bis Avenue Kl ber 16th arr 75016 Paris France,Paris,France,48.8663089,2.289609,8.3,420
H tel des Academies et des Arts,15 Rue De La Grande Chaumi re 6th arr 75006 Paris France,Paris,France,48.8420669,2.3304091,8.8,215
Hotel Park Lane Paris,4 Rue La Boetie 8th arr 75008 Paris France,Paris,France,48.8745879,2.3188143,8.7,824
Medinaceli,Duc De Medinaceli 8 Ciutat Vella 08002 Barcelona Spain,Barcelona,Spain,41.3781685,2.1786627,7.8,523
Lyric H tel Paris,2 rue de Gramont 2nd arr 75002 Paris France,Paris,France,48.8690126,2.3368708,8.9,480
Hotel Gran Derby Suites,Loreto 28 Les Corts 08029 Barcelona Spain,Barcelona,Spain,41.3900104,2.1422396,8.5,470
Ambassade Hotel,Herengracht 341 Amsterdam City Center 1016 AZ Amsterdam Netherlands,Amsterdam,Netherlands,52.369391,4.8871721,9.3,1611
Apex City Of London Hotel,No 1 Seething Lane City of London London EC3N 4AX United Kingdom,London,United Kingdom,51.5104624,-0.0795502,9.0,2750
Acad mie H tel Saint Germain,32 rue des Saints P res 7th arr 75007 Paris France,Paris,France,48.855263,2.3305901,9.0,855
Shaftesbury Premier London Paddington,55 61 Westbourne Terrace Westminster Borough London W2 3UY United Kingdom,London,United Kingdom,51.5153672,-0.1783271,7.3,3609
Saint SHERMIN bed breakfast champagne,Rilke Platz 7 04 Wieden 1040 Vienna Austria,Vienna,Austria,48.1978409,16.367087,9.0,651
Hotel Regina,Rooseveltplatz 15 09 Alsergrund 1090 Vienna Austria,Vienna,Austria,48.2163343,16.3595536,8.4,1948
The Corner Hotel,Mallorca 178 Eixample 08036 Barcelona Spain,Barcelona,Spain,41.3890578,2.1565948,9.3,460
The Grosvenor,101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,London,United Kingdom,51.4956657,-0.1452793,8.4,3274
Hotel Verneuil Saint Germain,8 rue de Verneuil 7th arr 75007 Paris France,Paris,France,48.8573706,2.3314669,8.7,165
Pullman Barcelona Skipper,Avenida Litoral 10 Ciutat Vella 08005 Barcelona Spain,Barcelona,Spain,41.3860183,2.19473,8.6,1424
The Nadler Soho,10 Carlisle Street Westminster Borough London W1D 3BR United Kingdom,London,United Kingdom,51.5147387,-0.1341108,9.0,1394
Hotel Carrobbio,Via Medici 3 Milan City Center 20123 Milan Italy,Milan,Italy,45.4606597,9.1810947,8.0,888
Hotel Elys es Bassano,24 rue Bassano 16th arr 75016 Paris France,Paris,France,48.8689307,2.2974503,7.9,652
Hotel Manin,Via Manin 7 Milan City Center 20121 Milan Italy,Milan,Italy,45.4739801,9.1960671,8.4,1757
Hotel degli Arcimboldi,Viale Sarca 336 Bicocca Zara 20125 Milan Italy,Milan,Italy,45.5257221,9.2150033,8.3,10842
NH Milano Grand Hotel Verdi,Via Melchiorre Gioia 6 Garibaldi Station 20124 Milan Italy,Milan,Italy,45.4814923,9.192023,8.2,1178
Hotel Saint Dominique,62 Rue Saint Dominique 7th arr 75007 Paris France,Paris,France,48.8599998,2.3087425,8.7,516
Residence Henri IV,50 rue des Bernardins 5th arr 75005 Paris France,Paris,France,48.8481917,2.3490316,9.1,454
St Martins Lane A Morgans Original,45 St Martin s Lane Westminster Borough London WC2N 4HX United Kingdom,London,United Kingdom,51.5104696,-0.1265824,9.0,1241
Millennium Hotel London Knightsbridge,17 25 Sloane Street Knightsbridge Kensington and Chelsea London SW1X 9NU United Kingdom,London,United Kingdom,51.4999683,-0.1599927,7.5,2746
Atahotel Linea Uno,Viale Monza 139 Distretto Viale Monza 20125 Milan Italy,Milan,Italy,45.50054,9.2208089,8.0,1199
Hotel Arena,s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,Amsterdam,Netherlands,52.3605759,4.9159683,7.7,1403
The Soho Hotel,4 Richmond Mews Westminster Borough London W1D 3DH United Kingdom,London,United Kingdom,51.5139805,-0.1337948,9.5,385
Hotel Ciutadella Barcelona,Avenida Marqu s de l Argentera 4 Ciutat Vella 08003 Barcelona Spain,Barcelona,Spain,41.3837583,2.1846933,8.1,448
NH Collection Amsterdam Grand Hotel Krasnapolsky,Dam 9 Amsterdam City Center 1012 JS Amsterdam Netherlands,Amsterdam,Netherlands,52.3727067,4.8943658,8.4,4686
Hotel Gallitzinberg,Johann Staud Stra e 32 16 Ottakring 1160 Vienna Austria,Vienna,Austria,48.2145071,16.2845042,8.6,173
H tel Le Marianne,11 rue Paul Baudry 8th arr 75008 Paris France,Paris,France,48.8725794,2.3075779,8.7,213
Fifty Four Boutique Hotel,54 Queens Gate Kensington and Chelsea London SW7 5JW United Kingdom,London,United Kingdom,51.4963008,-0.1796853,8.2,684
Armani Hotel Milano,Via Manzoni 31 Milan City Center 20121 Milan Italy,Milan,Italy,45.470532,9.19302,9.2,835
AC Hotel Victoria Suites a Marriott Lifestyle Hotel,Beltran i R zpide 7 9 Les Corts 08034 Barcelona Spain,Barcelona,Spain,41.3893478,2.1209755,8.6,375
H tel Victor Hugo Paris Kl ber,19 Rue Copernic 16th arr 75016 Paris France,Paris,France,48.8690198,2.2891278,7.9,236
Hotel Moonlight,9 Knaresborough Place Kensington and Chelsea London SW5 0TP United Kingdom,London,United Kingdom,51.4940285,-0.1910497,9.0,617
Hotel Claridge Paris,37 rue Fran ois 1er 8th arr 75008 Paris France,Paris,France,48.8684243,2.3036244,8.1,724
D clic Hotel,17 rue Duhesme 18th arr 75018 Paris France,Paris,France,48.8908018,2.3380204,8.8,360
H tel Duc De St Simon,14 Rue St Simon 7th arr 75007 Paris France,Paris,France,48.8560685,2.3236846,9.0,379
Hotel ViennArt am Museumsquartier,Breite Gasse 9 07 Neubau 1070 Vienna Austria,Vienna,Austria,48.2035677,16.356445,8.4,2692
H tel Lancaster Paris Champs Elys es,7 rue de Berri 8th arr 75008 Paris France,Paris,France,48.8723438,2.3033378,8.8,254
Drawing Hotel,17 rue de Richelieu 1st arr 75001 Paris France,Paris,France,48.8644382,2.3359148,8.9,67
Hotel 55,Hanger Lane Ealing London W5 3HL United Kingdom,London,United Kingdom,51.5213303,-0.2915052,8.5,722
Hotel Cambon,3 Rue Cambon 1st arr 75001 Paris France,Paris,France,48.866435,2.3251076,8.3,323
Golden Tulip Amsterdam West,Molenwerf 1 1014 AG Amsterdam Netherlands,Amsterdam,Netherlands,52.385601,4.8470597,8.5,7586
London Bridge Hotel,8 18 London Bridge St Southwark London SE1 9SG United Kingdom,London,United Kingdom,51.5052188,-0.088166,8.7,311
Chateau Frontenac,54 rue Pierre Charron 8th arr 75008 Paris France,Paris,France,48.8689468,2.3026559,8.5,858
Tryp Barcelona Apolo Hotel,Avenida Paralelo 57 59 Sants Montju c 08004 Barcelona Spain,Barcelona,Spain,41.3747031,2.1707106,7.8,883
Hotel Square,3 Rue De Boulainvilliers 16th arr 75016 Paris France,Paris,France,48.851589,2.2777274,8.5,148
NH Carlton Amsterdam,Vijzelstraat 4 Amsterdam City Center 1017 HK Amsterdam Netherlands,Amsterdam,Netherlands,52.3663727,4.8930505,7.0,4231
Mercure Paris Notre Dame Saint Germain des Pr s,20 rue du Sommerard 5th arr 75005 Paris France,Paris,France,48.8503074,2.3450612,8.0,268
Hotel Schani Wien,Karl Popper Stra e 22 10 Favoriten 1100 Vienna Austria,Vienna,Austria,48.1824271,16.3808291,8.8,2464
The RE London Shoreditch,419 437 Hackney Road London E2 8PP United Kingdom,London,United Kingdom,51.531979,-0.061598,7.8,2147
Holiday Inn Paris Gare de Lyon Bastille,11 15 Rue De Lyon 12th arr 75012 Paris France,Paris,France,48.8468064,2.3714789,8.3,2200
Courtyard by Marriott Vienna Prater Messe,Trabrennstra e 4 02 Leopoldstadt 1020 Vienna Austria,Vienna,Austria,48.2130607,16.4133973,8.7,1766
ME London by Melia,336 337 Strand London Westminster Borough London WC2R 1HA United Kingdom,London,United Kingdom,51.511879,-0.118552,9.2,1017
Rafayel Hotel Spa,34 Lombard Road Battersea London SW11 3RF United Kingdom,London,United Kingdom,51.4703604,-0.1779869,8.0,1378
NH Sants Barcelona,Numancia 74 Les Corts 08029 Barcelona Spain,Barcelona,Spain,41.384591,2.1378107,8.2,1122
Amba Hotel Marble Arch,Bryanston Street Marble Arch Westminster Borough London W1H 7EH United Kingdom,London,United Kingdom,51.5144004,-0.1565506,8.5,3980
Hotel Indigo Barcelona Plaza Catalunya,Gran Via de las Corts Catalanes 629 Eixample 08010 Barcelona Spain,Barcelona,Spain,41.391362,2.1700953,8.6,802
St James Court A Taj Hotel London,41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,London,United Kingdom,51.4986732,-0.1376867,8.7,5394
Catalonia Born,Rec Comtal 16 18 Ciutat Vella 08003 Barcelona Spain,Barcelona,Spain,41.3896916,2.1798661,8.8,2094
Blakes Hotel,33 Roland Gardens Kensington and Chelsea London SW7 3PF United Kingdom,London,United Kingdom,51.4892447,-0.1803196,8.0,190
B Montmartre,6 Rue Lecluse 17th arr 75017 Paris France,Paris,France,48.883631,2.3257643,9.2,332
Banke H tel,20 Rue La Fayette 9th arr 75009 Paris France,Paris,France,48.8735736,2.335965,8.4,688
Mercure Hotel Raphael Wien,Wallgasse 23 06 Mariahilf 1060 Vienna Austria,Vienna,Austria,48.1919288,16.3391395,8.5,1264
NH Collection Amsterdam Barbizon Palace,Prins Hendrikkade 59 72 Amsterdam City Center 1012 AD Amsterdam Netherlands,Amsterdam,Netherlands,52.3764175,4.9002201,8.6,2865
Le Burgundy Paris,6 8 Rue Duphot 1st arr 75001 Paris France,Paris,France,48.8680055,2.3260075,9.1,683
Hotel Xenia Autograph Collection,160 Cromwell Road Kensington Kensington and Chelsea London SW5 0TL United Kingdom,London,United Kingdom,51.4946905,-0.1910197,9.0,682
Le Relais Montmartre,6 Rue Constance 18th arr 75018 Paris France,Paris,France,48.8854538,2.3335809,9.3,744
Novotel Paris 17,34 Avenue Porte d Asni res 17th arr 75017 Paris France,Paris,France,48.8920485,2.3023791,7.9,750
Hotel Maison FL,6 Rue De La Tour 16th arr 75016 Paris France,Paris,France,48.8396395,2.2663056,8.7,417
Best Western Ducs de Bourgogne,19 Rue Du Pont Neuf 1st arr 75001 Paris France,Paris,France,48.8603483,2.3440535,7.7,684
Charlotte Street Hotel,15 17 Charlotte Street Hotel Westminster Borough London W1T 1RJ United Kingdom,London,United Kingdom,51.5184158,-0.1348509,9.5,319
Ritz Paris,15 Place Vend me 1st arr 75001 Paris France,Paris,France,48.8679466,2.3289593,9.8,122
Hotel Le Six,14 Rue Stanislas 6th arr 75006 Paris France,Paris,France,48.8438352,2.3280708,9.1,177
La Villa Maillot,143 Avenue De Malakoff 16th arr 75016 Paris France,Paris,France,48.875551,2.2835191,8.9,445
Hotel De Vigny,9 11 rue Balzac 8th arr 75008 Paris France,Paris,France,48.8738672,2.3005894,7.5,368
Crowne Plaza Milan City,Via Melchiorre Gioia 73 Central Station 20124 Milan Italy,Milan,Italy,45.4896727,9.2006406,8.5,838
Gardette Park Hotel,1 Rue Du G n ral Blaise 11th arr 75011 Paris France,Paris,France,48.8610265,2.3788974,8.2,1011
Senator Hotel Vienna,Hernalser Hauptstra e 105 17 Hernals 1170 Vienna Austria,Vienna,Austria,48.2195864,16.3255339,8.1,2718
Albus Hotel Amsterdam City Centre,Vijzelstraat 49 Amsterdam City Center 1017 HE Amsterdam Netherlands,Amsterdam,Netherlands,52.365823,4.893243,8.2,564
The Mandeville Hotel,Mandeville Place Westminster Borough London W1U 2BE United Kingdom,London,United Kingdom,51.5165165,-0.1509735,8.5,2300
H tel La Comtesse by Elegancia,29 Avenue De Tourville 7th arr 75007 Paris France,Paris,France,48.853865,2.3072019,9.0,363
Grand Hotel Wien,K rntner Ring 9 01 Innere Stadt 1010 Vienna Austria,Vienna,Austria,48.2021105,16.3720841,9.0,1375
H tel D Aubusson,33 Rue Dauphine 6th arr 75006 Paris France,Paris,France,48.8547329,2.3395277,9.4,941
Luxury Suites Amsterdam,Oudeschans 75 Amsterdam City Center 1011 KW Amsterdam Netherlands,Amsterdam,Netherlands,52.3702613,4.9032489,9.3,720
Enterprise Hotel Design Boutique,Corso Sempione 91 Fiera Milano City 20149 Milan Italy,Milan,Italy,45.4867005,9.1575137,8.5,1686
Mercure Paris Terminus Nord,21 rue de Dunkerque 10th arr 75010 Paris France,Paris,France,48.8794843,2.3556545,7.4,5575
Vice Versa,213 rue de la Croix Nivert 15th arr 75015 Paris France,Paris,France,48.8363819,2.2897793,8.3,637
Hampshire Hotel Amsterdam American,Leidsekade 97 Amsterdam City Center 1017 PN Amsterdam Netherlands,Amsterdam,Netherlands,52.363889,4.881302,8.5,4032
InterContinental Amstel Amsterdam,Professor Tulpplein 1 Amsterdam City Center 1018 GX Amsterdam Netherlands,Amsterdam,Netherlands,52.3600068,4.9051643,9.0,151
Best Western Premier Op ra Faubourg Ex Hotel Jules,49 Rue La Fayette 9th arr 75009 Paris France,Paris,France,48.8753359,2.3414617,8.1,1966
art otel Amsterdam,Prins Hendrikkade 33 Amsterdam City Center 1012 TM Amsterdam Netherlands,Amsterdam,Netherlands,52.377743,4.897057,9.0,3158
Courthouse Hotel London,19 21 Gt Marlborough St Westminster Borough London W1F 7HL United Kingdom,London,United Kingdom,51.5143624,-0.1394483,8.0,1786
Hotel Dieci,Largo Rio de Janeiro 12 Citt Studi 20133 Milan Italy,Milan,Italy,45.4738012,9.2239702,8.1,458
Hotel Casa Camper,Elisabets 11 Ciutat Vella 08001 Barcelona Spain,Barcelona,Spain,41.3832414,2.1685298,9.6,732
